frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,_ws.col.protocol
"1766041607.958562577",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TLSv1.2"
"1766041607.958570536",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TLSv1.2"
"1766041607.958930054",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TLSv1.2"
"1766041607.960397372",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.961873762",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.968340118",,,,,,,,,"LLC"
"1766041608.349954975",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TLSv1.2"
"1766041608.349993398",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041608.350012581",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041608.350015889",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TLSv1.2"
"1766041608.354447073",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TLSv1.2"
"1766041608.354465311",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TLSv1.2"
"1766041608.400055496",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041608.601476192","192.168.1.18","162.247.243.29",,,"59686","443",,,"TLSv1.2"
"1766041608.601554740","192.168.1.18","162.247.243.29",,,"59686","443",,,"TLSv1.2"
"1766041608.603153055","192.168.1.18","162.247.243.29",,,"52518","443",,,"TCP"
"1766041608.624009519",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041608.652029943","192.168.1.18","162.247.243.29",,,"59686","443",,,"TCP"
"1766041608.698782122",,,"fe80::5607:7dff:fe40:f9bd","ff02::1",,,,,"ICMPv6"
"1766041608.708035994",,,"fe80::9290:4d9:c8ba:a3b5","ff02::16",,,,,"ICMPv6"
"1766041608.880019980","192.168.1.18","162.247.243.29",,,"59686","443",,,"TCP"
"1766041608.903726809","192.168.1.18","162.247.243.29",,,"52530","443",,,"TCP"
"1766041609.084031075",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041609.340045805","192.168.1.18","162.247.243.29",,,"59686","443",,,"TCP"
"1766041609.628052590","192.168.1.18","162.247.243.29",,,"52518","443",,,"TCP"
"1766041609.660148146",,,"fe80::9290:4d9:c8ba:a3b5","ff02::16",,,,,"ICMPv6"
"1766041609.664288489",,,"fe80::9290:4d9:c8ba:a3b5","ff02::2",,,,,"ICMPv6"
"1766041609.724770262",,,"fe80::5607:7dff:fe40:f9bd","ff02::1",,,,,"ICMPv6"
"1766041609.736141536",,,"fe80::9290:4d9:c8ba:a3b5","ff02::16",,,,,"ICMPv6"
"1766041609.916033950","192.168.1.18","162.247.243.29",,,"52530","443",,,"TCP"
"1766041609.980094745",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041610.172072896",,,"fe80::9290:4d9:c8ba:a3b5","ff02::16",,,,,"ICMPv6"
"1766041610.268076764","192.168.1.18","162.247.243.29",,,"59686","443",,,"TCP"
"1766041610.652026869","192.168.1.18","162.247.243.29",,,"52518","443",,,"TCP"
"1766041610.831543951",,,"2603:8000:6900:600::70","2a06:98c1:310b::ac40:9bd1","36200","443",,,"TLSv1.2"
"1766041610.831703983",,,"2603:8000:6900:600::70","2a06:98c1:310b::ac40:9bd1","36200","443",,,"TLSv1.2"
"1766041610.831730824",,,"2603:8000:6900:600::70","2a06:98c1:310b::ac40:9bd1","36200","443",,,"TLSv1.2"
"1766041610.904018873",,,"2603:8000:6900:600::70","2a06:98c1:310b::ac40:9bd1","36200","443",,,"TCP"
"1766041610.940092002","192.168.1.18","162.247.243.29",,,"52530","443",,,"TCP"
"1766041611.144032024",,,"2603:8000:6900:600::70","2a06:98c1:310b::ac40:9bd1","36200","443",,,"TCP"
"1766041611.362419095","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.367042202","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.396088731","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.397790867","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.399309435","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.400931513","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.402308545","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.403668636","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.408526389","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.410039917","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.411542849","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.413055777","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.414645478","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.416192053","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
